iter	Logloss
0	0.6297240395
1	0.5787315339
2	0.5356076144
3	0.4968676661
4	0.4645626011
5	0.4355834757
6	0.4100971004
7	0.3888849219
8	0.3673973348
9	0.3504750807
10	0.3352947393
11	0.3228286456
12	0.3114586038
13	0.3012767349
14	0.29116947
15	0.2810105898
16	0.270266751
17	0.2637076173
18	0.2557416587
19	0.2482059777
20	0.2418148247
21	0.2346241551
22	0.2301195847
23	0.2230901374
24	0.2200419759
25	0.2134905791
26	0.2106005045
27	0.2069191113
28	0.2042339486
29	0.2007526033
30	0.1973875555
31	0.1929373636
32	0.1882868239
33	0.1848871783
34	0.182054586
35	0.1764381125
36	0.1724577047
37	0.1706884901
38	0.1682586661
39	0.1659160089
40	0.1632919859
41	0.1579494935
42	0.1556620293
43	0.1541854107
44	0.1523828957
45	0.1487154765
46	0.1469863459
47	0.1445410334
48	0.1437924799
49	0.1417647851
50	0.1396009228
51	0.1385126698
52	0.1376374356
53	0.1363670353
54	0.1356575117
55	0.1344849851
56	0.1331557798
57	0.1299523438
58	0.1289064665
59	0.1280420937
60	0.127049258
61	0.1247805576
62	0.1223319389
63	0.1210361258
64	0.1200100395
65	0.117572882
66	0.1168390763
67	0.1147737002
68	0.1130425978
69	0.1113075715
70	0.1097212832
71	0.1084232427
72	0.1056648481
73	0.1039653861
74	0.1032317371
75	0.1001167387
76	0.09818230954
77	0.09776999937
78	0.09704807683
79	0.09472552149
80	0.09288937444
81	0.09232770222
82	0.09119635302
83	0.08858250085
84	0.08837021673
85	0.08767103047
86	0.08703004353
87	0.08515102462
88	0.08461351961
89	0.08420432749
90	0.08380959837
91	0.08290013932
92	0.08199203301
93	0.08086887278
94	0.08060956937
95	0.07990365115
96	0.07768805934
97	0.07698430382
98	0.07681697183
99	0.07444863866
